AgencyName,RdwyNumber,Street,StreetDir,RoadwayName,StreetSfx,OWNER,ROAD_CLASSIFICATION,COUNCIL_DISTRICT,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,DAY_OF_WEEK,CollisionDate,CollisionTime,HOUR_OF_DAY,UnitsInvolved,MotorVehiclesInvolved,MODE,AGE,GENDER,INJURY,FATALITY,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,IsSecondaryCollision
LOUISVILLE METRO POLICE DEPT,US0031W,,,DIXIE,HWY,STATE,MAJOR ARTERIAL,0,,,,ALANADALE,KY0907,VALLEY STATION,FRIDAY,2016/01/01 07:50:00+00,250,2AM,2,2,MOTOR VEHICLE,24,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,CURVE & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,3RD,ST,METRO,MINOR ARTERIAL,0,KY2801,FLORENCE,,,,,FRIDAY,2016/01/01 20:14:00+00,1514,3PM,2,1,PEDESTRIAN,35,FEMALE,TRUE,FALSE,CLEAR,DRY,TRUE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,LA GRANGE,RD,METRO,PRIMARY COLLECTOR,0,,ORMSBY,,,,,FRIDAY,2016/01/01 23:14:00+00,1814,6PM,2,2,MOTOR VEHICLE,59,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,HEAD ON,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,,,,,SATURDAY,2016/01/02 15:55:00+00,1055,10AM,1,1,MOTOR VEHICLE,32,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,,,,,SATURDAY,2016/01/02 15:55:00+00,1055,10AM,1,1,MOTOR VEHICLE,6,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,,,,,SUNDAY,2016/01/03 13:56:00+00,856,8AM,2,2,MOTOR VEHICLE,27,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,I 0065,I65 N EXIT128 TRANSIT,I 0065,I65 N EXIT128 ON RAMP FROM KY1631,WEDNESDAY,2016/01/06 12:50:00+00,750,7AM,2,1,PEDESTRIAN,46,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,I 0065,I65 N EXIT128 TRANSIT,I 0065,I65 N EXIT128 ON RAMP FROM KY1631,WEDNESDAY,2016/01/06 12:50:00+00,750,7AM,3,3,MOTOR VEHICLE,33,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031W,10500,,DIXIE,HWY,STATE,MAJOR ARTERIAL,0,,,,,,,WEDNESDAY,2016/01/07 00:09:00+00,1909,7PM,3,3,MOTOR VEHICLE,35,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,I 0264,I264 W EXIT14 OFF RAMP TO KY864,I 0264,I264 W EXIT14 ON RAMP FROM KY864,THURSDAY,2016/01/07 23:00:00+00,1800,6PM,2,2,MOTOR VEHICLE,30,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & GRADE,DARK (UNKNOWN ROADWAY LIGHTING),,,FALSE
